token,date_in,buy_price,date_out,sell_price,profit_percentage
NEARUSDT,2022-10-10,3.218,2022-11-04,3.307,2.7656929770043495
NEARUSDT,2022-11-09,2.03,2023-01-04,1.55,-23.645320197044324
NEARUSDT,2023-06-07,1.414,2023-10-01,1.16,-17.963224893917964
NEARUSDT,2024-04-12,5.788,2024-05-15,8.052,39.115411195577046
NEARUSDT,2024-08-05,3.525,2024-08-23,4.838,37.24822695035462
NEARUSDT,2024-10-25,4.172,2024-11-11,5.562,33.317353787152456
NEARUSDT,2024-12-18,5.687,2025-01-14,4.873,-14.313346228239846
ONEUSDT,2022-05-11,0.04101,2022-07-19,0.02603,-36.5276761765423
ONEUSDT,2022-11-09,0.01374,2022-12-02,0.01504,9.461426491994171
ONEUSDT,2022-12-16,0.01152,2023-01-09,0.01205,4.6006944444444375
ONEUSDT,2023-05-08,0.0159,2023-10-23,0.01037,-34.77987421383648
ONEUSDT,2024-04-12,0.02253,2024-05-20,0.02172,-3.595206391478037
ONEUSDT,2024-06-08,0.01863,2024-08-22,0.0121,-35.05099302200752
RUNEUSDT,2022-05-11,3.152,2022-07-18,2.649,-15.958121827411171
RUNEUSDT,2022-08-19,2.085,2022-11-04,1.662,-20.287769784172667
RUNEUSDT,2022-11-09,1.032,2022-11-30,1.293,25.290697674418595
RUNEUSDT,2023-06-10,0.946,2023-08-09,1.016,7.399577167019035
RUNEUSDT,2024-01-07,4.568,2024-02-09,5.254,15.017513134851137
RUNEUSDT,2024-04-12,5.842,2024-05-09,6.293,7.719958918178715
RUNEUSDT,2024-07-04,3.508,2024-07-18,4.526,29.019384264538196
RUNEUSDT,2024-08-03,3.487,2024-08-23,4.446,27.502150845999413
RUNEUSDT,2024-12-19,5.197,2025-01-14,3.192,-38.57994997113719
SANDUSDT,2022-05-11,1.3209,2022-07-18,1.3779,4.315239609357252
SANDUSDT,2022-08-18,1.1528,2022-10-30,0.8607,-25.338306731436504
SANDUSDT,2022-11-09,0.5662,2022-12-05,0.6162,8.83080183680677
SANDUSDT,2022-12-16,0.4691,2023-01-08,0.4943,5.3719889149435085
SANDUSDT,2023-05-08,0.508,2023-05-28,0.5556,9.370078740157476
SANDUSDT,2023-06-10,0.3842,2023-07-01,0.4639,20.744403956272773
SANDUSDT,2023-08-17,0.3252,2023-09-29,0.3146,-3.2595325953259526
SANDUSDT,2024-04-12,0.512,2024-05-20,0.467,-8.789062499999996
SANDUSDT,2024-06-17,0.3371,2024-08-23,0.3002,-10.94630673390685
SHIBUSDT,2022-05-11,1.207e-05,2022-07-18,1.196e-05,-0.9113504556752191
SHIBUSDT,2022-09-18,1.062e-05,2022-10-28,1.171e-05,10.263653483992465
SHIBUSDT,2022-12-16,8.18e-06,2023-01-08,8.65e-06,5.745721271393651
SHIBUSDT,2023-05-08,8.92e-06,2023-07-15,8.09e-06,-9.304932735425997
SHIBUSDT,2024-04-13,2.11e-05,2024-05-20,2.607e-05,23.55450236966824
SHIBUSDT,2024-08-04,1.334e-05,2024-08-23,1.53e-05,14.69265367316342
SHIBUSDT,2024-12-19,2.157e-05,2025-01-14,2.131e-05,-1.2053778395920145
SNXUSDT,2022-05-11,2.511,2022-05-30,3.351,33.45280764635603
SNXUSDT,2022-06-13,1.912,2022-07-21,3.285,71.80962343096236
SNXUSDT,2022-08-19,2.801,2022-10-26,2.44,-12.888254194930388
SNXUSDT,2022-11-09,1.713,2022-12-05,1.922,12.200817279626378
SNXUSDT,2023-05-11,2.018,2023-06-29,2.22,10.009910802775046
SNXUSDT,2023-08-17,2.075,2023-10-22,2.123,2.3132530120481944
SNXUSDT,2024-04-13,2.785,2024-05-20,2.937,5.457809694793526
SNXUSDT,2024-06-08,2.397,2024-08-21,1.535,-35.9616186900292
SNXUSDT,2024-12-19,2.138,2025-01-14,1.708,-20.11225444340505
SOLUSDT,2022-05-11,50.9,2022-07-18,43.52,-14.499017681728871
SOLUSDT,2022-11-08,24.38,2023-01-09,16.25,-33.34700574241181
SOLUSDT,2023-02-09,20.48,2023-04-11,22.98,12.20703125
SOLUSDT,2023-06-10,15.61,2023-06-29,17.99,15.246636771300443
SOLUSDT,2024-04-12,153.16,2024-05-15,158.52,3.4996082528075303
SOLUSDT,2024-08-05,129.78,2024-09-19,142.89,10.101710587147469
SOLUSDT,2024-12-19,193.81,2025-01-14,186.83,-3.601465352664976
THETAUSDT,2022-05-11,1.332,2022-06-09,1.42,6.606606606606595
THETAUSDT,2022-08-19,1.199,2022-10-26,1.12,-6.588824020016677
THETAUSDT,2022-12-16,0.741,2023-01-10,0.814,9.85155195681511
THETAUSDT,2023-06-10,0.657,2023-07-13,0.83,26.3318112633181
THETAUSDT,2023-08-17,0.619,2023-10-01,0.671,8.400646203554127
THETAUSDT,2024-04-13,1.988,2024-05-20,2.493,25.402414486921526
THETAUSDT,2024-07-04,1.295,2024-08-22,1.322,2.0849420849420954
THETAUSDT,2024-10-25,1.138,2024-11-10,1.387,21.880492091388412
THETAUSDT,2024-12-19,2.023,2025-01-14,2.132,5.388037567968363
TRXUSDT,2022-06-13,0.06387,2022-10-29,0.06428,0.6419289181149328
TRXUSDT,2022-11-09,0.05338,2022-12-14,0.05558,4.121393780442115
TRXUSDT,2023-03-09,0.05863,2023-04-29,0.068,15.981579396213547
TRXUSDT,2024-03-19,0.11244,2024-06-22,0.11966,6.421202419067951
UNIUSDT,2022-05-11,4.91,2022-07-09,6.46,31.56822810590631
UNIUSDT,2022-08-19,6.9,2022-10-29,7.1,2.898550724637671
UNIUSDT,2022-11-09,4.9,2022-12-02,6.34,29.387755102040803
UNIUSDT,2023-06-10,4.065,2023-06-25,5.43,33.57933579335791
UNIUSDT,2023-08-16,5.459,2023-10-01,4.653,-14.76460890272944
UNIUSDT,2024-04-11,9.139,2024-05-20,9.328,2.0680599627968057
UNIUSDT,2024-08-04,6.147,2024-08-21,7.101,15.519765739385061
VETUSDT,2022-05-11,0.03044,2022-07-18,0.02473,-18.75821287779238
VETUSDT,2022-11-09,0.01949,2023-01-08,0.0171,-12.262698819907643
VETUSDT,2023-03-09,0.02028,2023-05-27,0.02012,-0.7889546351084834
VETUSDT,2023-06-10,0.01557,2023-09-14,0.01707,9.6339113680154
VETUSDT,2024-03-16,0.04046,2024-07-13,0.02931,-27.558082056351957
XLMUSDT,2022-05-11,0.1264,2022-05-31,0.1507,19.224683544303787
XLMUSDT,2022-06-13,0.1068,2022-07-19,0.1185,10.95505617977527
XLMUSDT,2022-11-08,0.0988,2023-01-09,0.0794,-19.635627530364374
XLMUSDT,2023-04-20,0.0957,2023-05-30,0.0908,-5.120167189132694
XLMUSDT,2023-08-17,0.1132,2023-09-09,0.1315,16.16607773851591
XLMUSDT,2024-04-12,0.1151,2024-07-13,0.1023,-11.120764552562983
XLMUSDT,2024-08-04,0.0882,2024-09-29,0.1017,15.30612244897959
XRPUSDT,2022-05-11,0.4172,2022-07-18,0.3653,-12.440076701821669
XRPUSDT,2022-08-19,0.3344,2022-09-09,0.3568,6.6985645933014455
XRPUSDT,2022-11-08,0.4059,2023-01-11,0.3728,-8.154717910815464
XRPUSDT,2023-04-21,0.4491,2023-05-29,0.4946,10.131373858828766
XRPUSDT,2023-08-17,0.5064,2023-10-03,0.539,6.43759873617695
XRPUSDT,2024-04-13,0.4788,2024-07-13,0.5257,9.79532163742689
XRPUSDT,2024-08-04,0.5228,2024-09-29,0.6412,22.64728385615913
XTZUSDT,2022-05-11,1.79,2022-06-09,2.227,24.41340782122904
XTZUSDT,2022-06-12,1.637,2022-07-18,1.73,5.681124007330481
XTZUSDT,2022-08-19,1.575,2022-10-26,1.435,-8.888888888888882
XTZUSDT,2022-11-08,1.173,2023-01-11,0.859,-26.768968456948
XTZUSDT,2023-05-08,0.911,2023-05-28,0.926,1.6465422612513734
XTZUSDT,2023-06-10,0.729,2023-07-13,0.906,24.27983539094651
XTZUSDT,2023-08-17,0.682,2023-10-01,0.706,3.5190615835776993
XTZUSDT,2024-04-12,1.101,2024-08-23,0.742,-32.60672116257947
YFIUSDT,2022-05-11,11380.1,2022-07-28,9137.38,-19.70738394214463
YFIUSDT,2022-08-19,8625.0,2022-09-09,10465.0,21.333333333333336
YFIUSDT,2022-11-08,6710.0,2022-11-30,6761.0,0.760059612518629
YFIUSDT,2022-12-16,5476.0,2023-01-10,5873.0,7.24981738495252
YFIUSDT,2023-05-08,7230.0,2023-07-02,7240.0,0.13831258644536654
YFIUSDT,2023-08-17,5352.0,2023-10-23,5892.0,10.089686098654708
YFIUSDT,2024-01-03,7520.0,2024-02-12,7642.0,1.6223404255319147
YFIUSDT,2024-04-12,7159.0,2024-05-20,7266.0,1.4946221539321134
YFIUSDT,2024-08-05,4879.0,2024-08-23,5466.0,12.031153924984627
ZILUSDT,2022-06-11,0.04178,2022-07-19,0.04403,5.38535184298708
ZILUSDT,2022-08-19,0.03684,2022-11-04,0.0329,-10.694896851248641
ZILUSDT,2022-11-08,0.02662,2023-01-08,0.0218,-18.106686701728027
ZILUSDT,2023-03-09,0.02258,2023-04-01,0.03069,35.916740478299374
